id,license,address,city,county,state,latitude,longitude
1367,Verizon,Main Street at Bumpin Hill Road,Westerly,WASHINGTON,RI,41.40502778,-71.83880556
1368,AT&T,2154 W MAIN RD (2369),PORTSMOUTH,NEWPORT,RI,41.56230556,-71.28538889
1369,Verizon,South of Ocean Ave.  0.8 km east of Beach Ave.  Washington County,New Shoreham,WASHINGTON,RI,41.17444444,-71.57166667
1370,AT&T,838 E. MAIN ROAD (2361),PORTSMOUTH,NEWPORT,RI,41.55769444,-71.25666667
1371,AT&T,45 CRANDALL ROAD (24919),TIVERTON,NEWPORT,RI,41.624,-71.14769444
1372,Verizon,(Warren site) 66.5 Market St.,WARREN,BRISTOL,RI,41.74233333,-71.27061111
1373,AT&T,247 North Road,Hopkington,WASHINGTON,RI,41.49472222,-71.78444444
1374,AT&T,15 WICKHAM RD (97427),Newport,NEWPORT,RI,41.46777778,-71.32027778
1375,Verizon,CHOPMIST HILL RD,NORTH SCITUATE,PROVIDENCE,RI,41.82969444,-71.67
1376,Verizon,47 Terry Lane,Chepachet,PROVIDENCE,RI,41.90122222,-71.64477778
1377,AT&T,54 Algonquin Lane,Burrillville,PROVIDENCE,RI,41.96658333,-71.75541667
1378,AT&T,122 Amy Hart Path (98449),Little Compton,NEWPORT,RI,41.54575,-71.14438889
1379,Verizon,2300 E. Main Road,PORTSMOUTH,NEWPORT,RI,41.59305556,-71.25516667
1380,AT&T,401 Walcott Ave,Pawtucket,PROVIDENCE,RI,41.87766667,-71.36591667
1381,AT&T,212 Hartford Pike,Foster,PROVIDENCE,RI,41.852,-71.77913889
1382,AT&T,95 Sayle Hill Rd,North Smithfield,PROVIDENCE,RI,41.97136111,-71.51513889
1383,AT&T,280 Victory Hwy,West Greenwich,KENT,RI,41.63961111,-71.68725
1384,AT&T,100 Ocean Ave,New Shoreham,WASHINGTON,RI,41.17444444,-71.57166667
